TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
100.263764172,-229.055,56.7185,-23.5493,19.3203,0.964863,-1.80179,-3.59156,2.90153,-3.16249,3.33092,-2.41997,-1.83809,4.89979,-1.48182,-5.62014,0.653591,-6.97081,4.53531,0.868203,0.968613,-0.905893
100.286984127,-240.706,45.1933,-26.0113,18.6376,-0.642466,-1.35115,-7.97014,3.37886,-4.10012,5.10899,1.6246,-0.689541,6.91093,-1.11162,-5.14952,1.1986,-5.654,6.82356,2.88899,3.00118,0.393146
100.310204082,-242.642,42.8056,-36.033,15.4021,-1.59466,-6.86927,-7.87121,1.59324,-5.71336,2.30306,-0.300367,-2.0737,4.68987,-1.2258,-1.752,3.14629,-3.40294,6.92222,2.07055,5.38108,4.68737
100.333424036,-240.457,43.7095,-36.6965,12.411,-4.84655,-9.25372,-10.7289,-1.22416,-6.0051,-0.498766,0.950569,-3.31276,4.48296,-2.10322,-5.75857,-0.270659,-4.10336,4.96384,0.527431,2.72459,1.49226
100.356643991,-247.978,39.2951,-33.993,12.7791,-9.06007,-6.27535,-11.2863,-2.40966,-6.15809,-0.304391,-1.73584,-0.30869,6.92018,-1.42358,-4.14759,-0.909962,-6.92657,5.42885,1.14073,4.2993,4.59213
100.379863946,-230.241,34.9291,-26.6317,8.89429,-9.88155,-6.87426,-16.3243,-2.39546,-7.68546,0.449896,-4.56391,2.83982,1.1053,1.80415,-1.95764,1.47871,-2.40263,2.9734,0.339797,1.13421,0.748709
100.403083900,-222.287,48.8897,-22.8993,20.25,-2.12717,-3.63855,-11.1128,1.14951,-8.77074,-0.585416,-3.23958,-2.71457,0.456395,0.637878,-4.04224,0.0934536,-4.09628,-0.529052,-0.144687,1.90658,0.105146
100.426303855,-223.342,51.2382,-20.944,20.293,2.32706,-2.09488,-8.77997,2.6654,-7.9232,0.931247,-3.74014,-0.653963,3.08058,2.501,-2.65485,1.68203,-3.03239,1.19383,0.086093,0.928107,1.18679
100.449523810,-231.414,51.1939,-19.0268,19.9234,-0.903059,-1.91342,-9.14064,-0.785393,-7.93285,2.84722,-1.13719,-1.80462,1.55988,0.591846,0.269024,2.70779,-3.10556,2.10922,0.624603,0.89833,-1.31568
100.472743764,-225.566,44.1762,-15.0848,25.3286,-3.43664,1.39161,-8.32894,4.03722,-6.75015,0.610485,-2.14335,0.864735,-0.0909649,0.838004,1.75482,-3.01617,-1.26725,1.33777,2.36892,-0.620916,-3.6586
100.495963719,-230.786,47.825,-17.1347,20.4468,-4.17962,-1.87645,-6.72537,2.64339,-6.75394,4.78924,-4.43592,4.02172,0.0568226,-0.563325,0.076,-0.0878211,-0.00395082,2.06887,-0.750229,0.565915,-2.367
