Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2zqqu4TbRW3yOI5wqdrgDL,"Beetje Van Mij","Beetje Van Mij","Antoon",2025-02-06,150620,61,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Atlantic Records Benelux",0.588,0.867,0,-5.949,1,0.0344,0.116,0.0559,0.295,0.168,145.027,4
spotify:track:0Yfb937yM0d5f6os0W9IWc,"Spectral Bells","Spectral Bells","Pegassi",2025-05-30,193907,59,false,,1970-01-01T00:00:00Z,"hard house,trance,techno,eurodance,hypertechno,bounce","FUTURE TRANCE",0.667,0.998,8,-6.762,0,0.0438,0.00151,0.867,0.0522,0.576,150.995,4
spotify:track:5N0YIVv0GDsJSw4zOk5j1Q,"THROUGH THE BACK","THROUGH THE BACK","t e s t p r e s s;SIKOTI;SESH",2025-05-16,177346,31,false,,1970-01-01T00:00:00Z,"hard house,eurodance,bounce,hypertechno,trance,hard techno,techno,acid techno,tekno,hardcore techno","SESH",0.691,0.996,6,-6.341,0,0.0772,0.0783,0.729,0.302,0.694,154.009,4
spotify:track:3gJ16QEGGhLFPNLvbXgB1u,"Losing Control","Losing Control","KI/KI;Marlon Hoffstadt",2025-08-08,170270,69,false,,1970-01-01T00:00:00Z,"hard house,acid techno,techno,trance,eurodance","KI/KI / Marlon Hoffstadt & Capitol Records",0.655,0.948,5,-5.153,0,0.0501,0.0112,0.676,0.333,0.675,147.984,4
spotify:track:43FiKNMmSDaI7V1U8i5CZI,"Won't Stop (Don't)","Won't Stop (Don't)","Chris Stussy",2024-11-22,233306,61,false,,1970-01-01T00:00:00Z,"house,tech house","Up the Stuss",0.665,0.861,5,-7.18,0,0.0358,0.00106,0.774,0.103,0.712,132.699,4
spotify:track:2QP041AcWg8PwPIWP95RKN,"top diesel","BORONDO","Beéle",2025-05-15,189456,82,false,,1970-01-01T00:00:00Z,"latin afrobeats,reggaeton,pop urbano","5020 Records",0.825,0.73,5,-4.007,1,0.11,0.144,0.000884,0.0435,0.77,99.995,4
spotify:track:7D7ZwXf0OsfKV3oX0xhMux,"nooit echt van mij","nooit echt van mij","Idaly",2024-06-27,176000,48,false,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.874,0.692,1,-7.703,1,0.142,0.235,0.0000466,0.148,0.464,105.005,4
spotify:track:5NNcU38EVLajKZbYydu6tR,"Niet Genoeg (feat. Idaly)","Knock Knock 4","CHO;Idaly",2023-10-27,147116,57,true,,1970-01-01T00:00:00Z,"","WM Benelux BV",0.852,0.575,4,-8.366,1,0.29,0.269,0,0.111,0.709,92.958,4
spotify:track:0YjXevB90M9K34TOx4q02S,"Summer Love","Summer Love","Zoë Tauran;Frenna",2025-05-16,155937,38,true,,1970-01-01T00:00:00Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.702,0.687,7,-4.291,0,0.0468,0.066,0.00000882,0.0969,0.874,96.05,4
spotify:track:5r6Kr8iW9ETUSlQLw44tIr,"GIRLS WANNA HAVE FUN","PINK SUMMER","Frenna",2024-07-19,208471,0,false,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.879,0.621,1,-5.8,1,0.0883,0.234,0.00022,0.117,0.475,111.995,4
spotify:track:2XmZI4dnQhLlt9imUoAnFc,"Body","Body","JoeyAK;Spanker;Idaly;CHO",2024-09-13,156935,44,true,,1970-01-01T00:00:00Z,"","MPG Music",0.78,0.595,6,-6.237,0,0.32,0.169,0.0000308,0.202,0.601,92.999,4
spotify:track:1Cbl3Yq8rHo7hhDQmLQagU,"PUSH 2 START","TYLA +","Tyla",2024-10-11,156825,83,false,,1970-01-01T00:00:00Z,"afrobeats","FAX Records/Epic",0.683,0.814,2,-3.505,1,0.0466,0.277,0.00826,0.0858,0.758,93.482,4
spotify:track:0tXWXoA85Veo0kiyjsrpOy,"House On Fire","House On Fire","L.zwo",2024-11-22,261677,51,false,,1970-01-01T00:00:00Z,"hard house,bounce,techno","Polyamor Records",0.701,0.996,2,-4.652,1,0.0847,0.00473,0.332,0.119,0.484,154.992,4
spotify:track:0yKN9B3jYONUyvqrGkNUPX,"One Night Of Love","One Night Of Love","Marlon Hoffstadt",2025-03-07,211862,55,false,,1970-01-01T00:00:00Z,"hard house,eurodance,trance,techno","Columbia Local",0.524,0.901,5,-5.451,0,0.0368,0.1,0.193,0.181,0.313,144.996,4
spotify:track:4Fp3p14zeLSGF3MLAjSBUH,"Keep It Simple","Keep It Simple","Prunk;Rona Ray",2023-03-17,184781,0,false,,1970-01-01T00:00:00Z,"house,lo-fi house,tech house,nu disco","Defected Records",0.76,0.724,0,-5.65,1,0.0633,0.000998,0.000781,0.118,0.562,125.988,4
spotify:track:3pN1lUACckD0PTkFzpxEpu,"Hotel","Hotel","Russo;Matthy",2025-01-31,169756,56,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Van De Watermakers",0.786,0.798,1,-6.177,1,0.0442,0.116,0,0.0741,0.896,123.066,4
