0.00209178,0.00537509,0.630248,0.774266,0.905535,0.114608,0,0.0657288,0.423049,1.39109,0.516517,0.0556536,0.408334,0.534332,1.15867,0.264272,0.291404,0.0668939,0.290954,0.395271,0.134083,2.31068,0.400319,0.950888
0.00154858,0,0.906529,0.660083,1.04266,0.223342,0.117811,0.0253274,0.612878,1.16738,0.342066,0,0.433558,0.266644,1.84895,0.212818,0.341339,0.0710904,0.0973809,0.608789,0.405068,1.87214,0.362935,1.26918
0.084204,0.548679,1.43484,0.760689,0.705112,0.297767,0.0104928,0,0.473463,1.09828,0.0282117,0,0.258945,0.423407,1.99851,0.242396,0.220588,0.0960497,0.119088,0.425391,0.235122,2.10576,0.271807,0.906833
0.228678,0.710461,1.67309,0.821445,0.389896,0.218136,0.0337896,0,0.415309,0.655075,0.00710229,0.00122578,0.0615915,0.528951,1.97468,0.264843,0.123101,0.159131,0.155074,0.148358,0.20645,2.34338,0.117869,0.532552
0.38929,0.731142,1.58015,0.630187,0.0245032,0.24649,0.0649862,0,0.259725,0.184753,0,0.00278386,0.10485,0.54741,1.89603,0.20318,0.361902,0.289592,0.122388,0.358901,0.138476,2.4523,0.000681192,0.112913
0.467008,0.762228,1.40145,0.419511,0,0.276651,0.285464,0,0.0499901,0.306964,0,0.0300233,0.125782,1.23743,1.43853,0.135255,0.316113,0.369796,0.133448,2.08103,0.053837,1.82988,0.00266459,0.00797311
0.900157,1.01124,0.906462,0.163591,0,0.180836,0.471294,0,0.0772798,0.156238,0,0.251504,0.329603,1.62145,1.27789,0.0763466,0,0.207882,0.4516,2.41872,0.0709761,0.925875,0.0153631,0.0648007
1.3242,1.2935,0.451086,0.0401958,0,0.00803698,0.31439,0,0,0.200623,0.250689,0.74307,0.592063,1.01777,0.875947,0.0886618,0,0.00168202,1.01726,2.48421,0.034289,0.426102,0.314525,0.190722
0.00366894,0.107069,1.02027,0.650458,0.105316,0,0.115724,0.499049,0.350522,0.406309,0.773594,0.0114793,0.716209,1.11388,0.928968,0.455034,0.176153,1.52149e-05,0.602828,2.36645,0.125278,0.208705,0.539153,0.598751
0.00467184,0.00896811,0.289574,0.841449,0.866422,0.0569457,0,0.228438,0.327808,1.33598,0.596381,0.256247,0.699393,0.693949,1.31172,0.391636,0.284959,0.0148562,0.51912,2.03339,0.189298,0.855193,0.429668,0.345014
0.00288444,0.0113994,0.568021,0.224092,0.90168,0.419924,0,0,0.363731,1.11792,0.158554,0.00502375,0.490795,0.372677,2.04008,0.097261,0.299109,0.149487,0.323766,2.08957,0.14468,0.868492,0.440011,0.45241
0.00191844,0.233725,1.08961,0.309871,0.658049,0.475644,0,0,0.395239,1.06095,0.0184097,0.00670891,0.53857,0.341903,2.12427,0.12831,0.218934,0.223179,0.146452,2.17919,0.199723,0.81576,0.304763,0.493469
0.111189,0.679645,1.50933,0.829671,0.120816,0.265888,0,0,0.431395,0.877889,0.00592258,0.00971124,0.531927,0.412103,2.09874,0.294557,0.0383317,0.365815,0.0599038,2.31222,0.214977,0.648775,0.0980455,0.611957
0.281345,0.731985,1.55361,0.572552,0.0354859,0.291576,0.0638254,0,0.323934,0.30892,0.0044858,0.00598932,0.188776,0.443748,1.67882,0.23669,0.146038,0.464888,0.0623714,2.6727,0.160702,0.365456,0.100223,0.52878
0.354058,0.740376,1.46594,0.294875,0.0287819,0.313519,0.425266,0,0.13295,0.217969,0,0.0043068,0.358735,0.944133,0.56303,0.200548,0.772014,0.571674,0.492348,2.41643,0.0655369,0.256535,0.246607,0.241016
1.28047,0.863749,0.929378,0.176233,0,0.0840094,0.250001,0,0,0,0,0.279799,0.896985,0.778625,1.05067,0.229341,1.16971,0.177571,0.394421,1.67893,0.00449305,0.00173696,0.301473,0.594674
1.55277,0.896616,0.564201,0.102088,0,0,0.111356,0.287634,0,0,0.407098,0.790093,0.924813,0.636163,0.673763,0.198587,1.97232,0.0380376,0.332466,1.26234,0.0144303,0.284848,0.411945,0.584454
0.00182215,0.163166,0.804207,0.656003,0.313651,0.00332794,0.0863926,0.461733,0.462059,0.785652,0.770291,0.00875403,0.355701,0.678908,0.348619,0.34618,1.59415,0.0470852,0.165928,1.24066,0.132956,1.23946,0.50239,0.511091
0.00348584,0.011438,0.476214,0.820676,0.962295,0.149116,0,0.0222953,0.250015,1.51135,0.625139,0.101478,0.612182,0.596619,1.00012,0.494498,0.731602,0.0815695,0.361951,1.01157,0.157153,1.60657,0.435338,0.550954
0.00169033,0.00385248,0.795519,0.299891,0.849331,0.485858,0,0,0.48353,1.55571,0.0850495,0.00224385,0.436588,0.269718,1.65559,0.149977,0.413983,0.20752,0.332671,1.20701,0.510663,1.5053,0.376614,0.991256
0.0187609,0.482761,1.47581,0.724459,0.547384,0.554436,0,0,0.408742,1.48187,0.0103547,0.00344439,0.258546,0.21528,1.86438,0.280023,0.341229,0.210117,0.405048,1.19747,0.537598,1.34548,0.171426,1.08181
0.165044,0.646259,1.70275,0.790706,0.224283,0.375844,0.0364305,0,0.338386,1.10441,0.00244596,0.00479554,0.195594,0.226932,1.94587,0.302039,0.200122,0.318291,0.574852,1.16338,0.507232,1.27185,0.0713399,1.10975
0.318698,0.713142,1.72038,0.578721,0.0104633,0.290657,0.200445,0,0.191917,0.376825,0,0.130543,0.155664,0.27151,1.87937,0.227961,0.495375,0.429875,0.720894,1.13487,0.278529,1.38728,0.266759,0.926068
0.434905,0.754628,1.37569,0.322549,0,0.387238,0.286703,0,0,0.0783196,0,0.0243128,0.138446,1.21553,1.28298,0.119095,0.900301,0.66965,0.568193,1.3822,0.0208227,1.2803,0.302961,0.508872
1.17203,1.28065,0.744296,0.190354,0,0.213248,0.280683,0,0.078217,0,0,0.196682,0.538164,1.57309,0.791922,0.164449,0.790496,0.384877,0.445187,1.75844,0.0760071,0.477221,0.235694,0.494875
1.94119,1.14068,0.454486,0.171083,0,0,0,0,0.0131213,0.00549083,0.523588,0.644793,1.14273,1.1899,0.524934,0.305188,0.00323402,0.0417962,0.197772,1.52071,0.107698,0.491416,0.422724,0.935982
0.00458066,0.245047,0.801964,0.355464,0.454457,0,0.113757,0.441071,0.25925,1.33629,1.07955,0.0115985,0.894186,0.960393,0.596742,0.53957,0.157353,0.052728,0.342001,1.10764,0.0929328,0.960367,0.702548,0.499271
0.00331961,0.00656366,0.445666,0.793625,0.853912,0.397181,0,0.231851,0.289039,1.47206,0.674674,0.108389,0.648018,0.905655,1.52919,0.393939,0.273393,0.19752,0.294247,1.07164,0.173545,1.2192,0.568387,0.255012
0.00226537,0.00496419,0.681071,0.223796,0.733351,0.524855,0,0,0.437405,1.30377,0.0894826,0.00929776,0.442221,0.876301,1.99291,0.0588497,0.244053,0.224889,0.237497,1.24822,0.2464,1.44152,0.417901,0.534182
0.00773732,0.494319,1.21131,0.406835,0.387779,0.555134,0,0,0.425528,1.25201,0.0115089,0.0110798,0.316294,0.890088,1.97305,0.133339,0.195472,0.315298,0.415311,1.28439,0.264475,1.31398,0.251832,0.544958
0.139148,0.6569,1.50599,0.774786,0.104755,0.305087,0,0,0.394649,1.07127,0,0.010538,0.309337,0.875525,1.95886,0.287451,0.0330393,0.449968,0.468981,1.27546,0.207586,1.35067,0.0931859,0.573239
0.303245,0.751435,1.54574,0.480253,0.0370974,0.336215,0.0323888,0,0.344576,0.442759,0,0.00412582,0.123066,0.617386,1.809,0.183872,0.007616,0.529751,0.25164,1.41676,0.182209,1.45119,0.495707,0.237639
0.412811,0.835054,1.54355,0.243998,0,0.384881,0.411564,0,0.158201,0.0779618,0,0.0988724,0.331949,0.299128,2.24264,0.0942303,0.100611,0.692913,0.221118,0.410101,0.120333,1.27499,0.50924,0.588015
0.965906,1.06019,0.99434,0.161833,0,0.1009,0.0730083,0,0,0,0,0.41592,0.745154,0.515184,2.26529,0.104307,0.183482,0.146543,0.609954,0.298753,0.012539,0.452021,0.572919,1.1361
1.24986,0.794707,0.967398,0.0504717,0,0.00504084,0,0.0220921,0,0.0598965,0.540376,0.906716,0.705694,0.93359,1.79546,0.10451,0.262729,0.056445,0.26231,0.261144,0.0229812,0.208525,0.556777,1.49465
0.0041014,0,0.636693,0.301414,0.682461,0.0135376,0.0931652,0.45847,0.37028,1.38295,0.580374,0.0115581,0.80063,0.861992,0.68277,0.503432,0.285574,0.0698389,0.424583,0.501258,0.120652,0.963086,0.731187,0.99947
0.00364033,0.00885038,0.651806,0.678868,0.816905,0.454848,0,0,0.398788,1.53155,0.419027,0.0230264,0.690332,0.603007,1.20531,0.320378,0.257522,0.254222,0.430584,0.790536,0.483057,1.28165,0.347749,1.04696
0.0422597,0.00585661,0.794905,0.18474,0.741617,0.582883,0.0187699,0,0.549499,1.44058,0.0162162,0.0065677,0.496757,0.180193,1.68996,0.0949154,0.234477,0.312757,0.497078,0.919985,0.703303,1.47145,0.268451,1.07112
